epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,537.93,1.72246,2.83201,1.59403,0.25669,0.27619,0.1793,0.08393,1.8857,2.54622,1.64199,0.000555131,0.000555131,0.000555131
2,1008.8,1.82571,2.4509,1.7037,0.1918,0.27849,0.14238,0.07836,1.92995,2.93889,1.77744,0.00100083,0.00100083,0.00100083
3,1478.84,1.78852,2.25218,1.68046,0.29691,0.29754,0.20695,0.11048,1.81754,2.32603,1.69319,0.0013365,0.0013365,0.0013365
4,1951.62,1.73278,2.14716,1.62676,0.34222,0.32709,0.25547,0.13284,1.81705,2.14718,1.65168,0.0011719,0.0011719,0.0011719
5,2425.65,1.63428,2.00471,1.56241,0.3358,0.42766,0.28915,0.15488,1.69717,2.00679,1.55836,0.00100687,0.00100687,0.00100687
6,2900.54,1.55513,1.90448,1.50106,0.36975,0.43293,0.31611,0.17271,1.66878,1.91655,1.50774,0.000841835,0.000841835,0.000841835
7,3466.21,1.50802,1.83239,1.43344,0.36606,0.45711,0.32654,0.18302,1.56471,1.85648,1.42759,0.000676802,0.000676802,0.000676802
8,4060.97,1.43391,1.75699,1.39518,0.37719,0.48996,0.33816,0.19358,1.52547,1.79686,1.38715,0.000511769,0.000511769,0.000511769
9,4531.46,1.38702,1.68334,1.35906,0.40875,0.50707,0.35546,0.20745,1.46086,1.72815,1.35205,0.000346736,0.000346736,0.000346736
10,5003.06,1.33683,1.61075,1.31675,0.41083,0.52479,0.36869,0.21495,1.43912,1.68387,1.32217,0.000181703,0.000181703,0.000181703
